network,code,location,network_group,channel_prefixes,channel_components
IA,AAFM,,REGIONAL,HN,E
IA,AAFM,,REGIONAL,HN,N
IA,AAFM,,REGIONAL,HN,Z
IA,AAFM,,REGIONAL,SH,E
IA,AAFM,,REGIONAL,SH,N
IA,AAFM,,REGIONAL,SH,Z
IA,ABJI,,REGIONAL,HN,E
IA,ABJI,,REGIONAL,HN,N
IA,ABJI,,REGIONAL,HN,Z
IA,ABJI,,REGIONAL,SH,E
IA,ABJI,,REGIONAL,SH,N
IA,ABJI,,REGIONAL,SH,Z
IA,KARPI,,REGIONAL,HN,E
IA,KARPI,,REGIONAL,HN,N
IA,KARPI,,REGIONAL,HN,Z
IA,KARPI,,REGIONAL,SH,E
IA,KARPI,,REGIONAL,SH,N
IA,KARPI,,REGIONAL,SH,Z
IA,UGM,,REGIONAL,HN,E
IA,UGM,,REGIONAL,HN,N
IA,UGM,,REGIONAL,HN,Z
IA,UGM,,REGIONAL,SH,E
IA,UGM,,REGIONAL,SH,N
IA,UGM,,REGIONAL,SH,Z
II,KAPI,00,REGIONAL,BH,1
II,KAPI,00,REGIONAL,BH,2
II,KAPI,00,REGIONAL,BH,Z
II,KAPI,10,REGIONAL,BH,1
II,KAPI,10,REGIONAL,BH,2
II,KAPI,10,REGIONAL,BH,Z
